pageid,title,wikidata,label
3824262,David Choquehuanca,Q58136,David Choquehuanca
31558275,Edmundo Novillo,Q5339974,Edmundo Novillo
38820569,Luis Arce,Q16149892,Luis Arce
65879133,Rogelio Mayta,Q102116482,Rogelio Mayta
66051024,Andrónico Rodríguez,Q75827853,Andrónico Rodríguez Ledezma
66054378,Eduardo del Castillo,Q104804128,Carlos del Castillo
66063526,María Nela Prada,Q102304997,María Nela Prada
66069150,Edgar Montaño,Q101436759,Edgar Montaño Rojas
66088792,Iván Lima,Q101466811,Iván Lima Magne
66122205,Sabina Orellana,Q104019011,Sabina Orellana
70351700,Edgar Pary,Q109655518,Edgar Pary
