id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q373548,president of Bolivia,Q750,Q750,Q7925039,Q20679960,1826-05-28,,,,President of Bolivia
Q7925039,Vice President of Bolivia,Q750,Q750,,,,,,,Vice President of Bolivia
Q110419023,"Minister of Cultures, Decolonization and Depatriarchalization",,Q750,,,,,,,
Q110419027,Minister of Defence of Bolivia,,Q750,,,,,,,
Q110419057,Minister of Development Planning,,Q750,,,,,,,
Q110419069,Minister of Education,,Q750,,,,,,,
Q110419279,"Minister of Education, Sports, and Cultures",Q750,Q750,,,,,,,
Q110419018,Minister of Economy and Public Finance,,Q750,,,,,,,
Q110419068,Minister of Environment and Water (Bolivia),,Q750,,,,,,,
Q5070783,Foreign Minister of Bolivia,Q750,Q750,,,,,,,Foreign Minister of Bolivia
Q110419015,Minister of Government,,Q750,,,,,,,
Q98966129,Minister of Health of Bolivia,Q750,Q750,,,,,,,
Q110419285,Minister of Health and Sports,Q750,Q750,,,,,,,
Q110419054,Minister of Hydrocarbons,,Q750,,,,,,,
Q110419308,Minister of Hydrocarbons and Energies,Q750,Q750,,,,,,,
Q110419019,Minister of Justice and Institutional Transparency (Bolivia),,Q750,,,,,,,
Q110419034,Minister of Mining and Metallurgy,,Q750,,,,,,,
Q110419013,Minister of the Presidency,,Q750,,,,,,,
Q110419042,Minister of Productive Development and the Plural Economy,,Q750,,,,,,,
Q110419037,"Minister of Public Works, Services, and Housing",,Q750,,,,,,,
Q110419022,Minister of Rural Development and Lands,,Q750,,,,,,,
Q110419021,"Minister of Work, Employment, and Social Security",,Q750,,,,,,,
Q56378023,President of the Senate of Bolivia,Q750,Q750,,,,,,,
Q104635468,President of the Chamber of Deputies of Bolivia,Q750,Q750,,Q56378056,,,,,
Q110419407,President of the Central Bank of Bolivia,Q750,,,,,,,,
