name,wdid,startDate,endDate,position
Luis Arce,Q16149892,2020-11-08,"",President
David Choquehuanca,Q58136,2020-11-08,"",Vice President
Rogelio Mayta,Q102116482,2020-11-09,"",Minister of Foreign Affairs
María Nela Prada,Q102304997,2020-11-09,"",Minister of the Presidency
Eduardo del Castillo,Q104804128,2020-11-09,"",Minister of Government
Edmundo Novillo,Q5339974,2020-11-09,"",Minister of Defense
Gabriela Mendoza,,2020-11-09,"",Minister of Development Planning
Marcelo Montenegro,,2020-11-09,"",Minister of Economy and Public Finance
Franklin Molina Ortiz,,2020-11-09,2020-11-19,Minister of Hydrocarbons
Franklin Molina Ortiz,,2020-11-19,"",Minister of Hydrocarbons and Energies
Néstor Huanca Chura,,2020-11-09,"",Minister of Productive Development and the Plural Economy
Edgar Montaño,Q101436759,2020-11-09,"","Minister of Public Works, Services, and Housing"
Ramiro Villavicencio,,2020-11-09,"",Minister of Mining and Metallurgy
Iván Lima,Q101466811,2020-11-09,"",Minister of Justice and Institutional Transparency
Verónica Navia Tejada,,2020-11-09,"","Minister of Labor, Employment, and Social Security"
Édgar Pozo,Q104850986,2020-11-09,2020-11-19,Minister of Health
Édgar Pozo,Q104850986,2020-11-19,2021-01-16,Minister of Health and Sports
Jeyson Auza,,2021-01-16,"",Minister of Health and Sports
Juan Santos Cruz,,2020-11-09,"",Minister of Environment and Water
Adrián Quelca,Q107663000,2020-11-09,2020-11-19,"Minister of Education, Sports, and Cultures"
Adrián Quelca,Q107663000,2020-11-19,2021-11-12,Minister of Education
Edgar Pary,"",2021-11-19,"",Minister of Education
Wilson Cáceres,,2020-11-09,2020-12-01,Minister of Rural Development and Land
Edwin Characayo,,2020-12-01,2021-04-14,Minister of Rural Development and Land
Remmy Gonzáles,,2021-04-20,"",Minister of Rural Development and Land
Sabina Orellana,Q104019011,2020-11-20,"","Ministry of Cultures, Decolonization and Depatriarchalization"
Franklin Molina Ortiz,,2020-11-12,2020-11-19,Minister of Energies
