@@,name,position
---,Sabina Orellana,
---,Rogelio Mayta,Ministro de Asuntos Exteriores de Bolivia
---,Remmy Gonzáles,
---,María Nela Prada,
---,Luis Alberto Arce Catacora,presidente de Bolivia
---,Jeyson Auza,
---,Iván Lima,
---,Edmundo Novillo Aguilar,
---,Edgar Pary,
---,Edgar Montaño,
---,David Choquehuanca,vicepresidente de Bolivia
---,Carlos del Castillo,
---,,
---,,
---,,
---,,
---,,
---,,
---,,
+++,Verónica P. Navia T.,"MINISTRA DE TRABAJO, EMPLEO Y PREVISIÓN SOCIAL"
+++,Rogelio Mayta M.,MINISTRO DE RELACIONES EXTERIORES
+++,Remmy Rubén Gonzales Atila,MINISTRO DE DESARROLLO RURAL Y TIERRAS
+++,Ramiro F. Villavicencio,MINISTRO DE MINERÍA Y METALURGIA
+++,Néstor Huanca Chura,MINISTRO DE DESARROLLO PRODUCTIVO Y ECONOMÍA PLURAL
+++,María Nela Prada T.,MINISTRA DE LA PRESIDENCIA
+++,Marcelo Montenegro G.,MINISTRO DE ECONOMÍA Y FINANZAS PÚBLICAS
+++,Juan Santos Cruz,MINISTRO DE MEDIO AMBIENTE Y AGUA
+++,Jeyson Marcos Auza Pinto,MINISTRO DE SALUD Y DEPORTES
+++,Iván Manolo Lima,MINISTRO DE JUSTICIA Y TRANSPARENCIA INSTITUCIONAL
+++,Franklin Molina O.,MINISTRO DE HIDROCARBUROS
+++,Felima G. Mendoza G.,MINISTRA DE PLANIFICACIÓN DEL DESARROLLO
+++,Edmundo Novillo A.,MINISTRO DE DEFENSA
+++,Edgar Montaño Rojas,"MINISTRO DE OBRAS PÚBLICAS, SERVICIOS Y VIVIENDA"
+++,Carlos E. del Castillo,MINISTRO DE GOBIERNO
+++,Adrián R. Quelca Tarqui,MINISTRO DE EDUCACIÓN
